,artist,score,best_new_music,author,author_type,pub_weekday,pub_day,pub_month,pub_year,genre,label
0,massive attack,9.3,0,nate patrin,contributor,6,8,1,2017,electronic,virgin
1,krallice,7.9,0,zoe camp,contributor,5,7,1,2017,metal,hathenter
2,uranium club,7.3,0,david glickman,contributor,5,7,1,2017,rock,fashionable idiots
3,uranium club,7.3,0,david glickman,contributor,5,7,1,2017,rock,static shock
4,"kleenex, liliput",9.0,1,jenn pelly,associate reviews editor,4,6,1,2017,rock,kill rock stars
5,"kleenex, liliput",9.0,1,jenn pelly,associate reviews editor,4,6,1,2017,rock,mississippi
6,taso,8.1,0,kevin lozano,tracks coordinator,4,6,1,2017,electronic,teklife
7,various artists,7.4,0,vanessa okoth-obbo,contributor,3,5,1,2017,,rca
8,little simz,7.1,0,katherine st. asaph,contributor,3,5,1,2017,rap,age 101
9,yotam avni,7.0,0,andy beta,contributor,3,5,1,2017,electronic,stroboscopic artefacts
10,brian eno,7.7,0,andy beta,contributor,2,4,1,2017,experimental,warp
11,the lox,5.3,0,ian cohen,contributor,2,4,1,2017,rap,roc nation
12,harry bertoia,8.0,0,marc masters,contributor,2,4,1,2017,experimental,important
13,run the jewels,8.6,1,sheldon pearce,associate staff writer,1,3,1,2017,rap,self-released
14,steven warwick,7.6,0,thea ballard,contributor,1,3,1,2017,electronic,pan
15,yasiin bey,3.5,0,marcus j. moore,contributor,0,2,1,2017,rap,a country called earth
16,yasiin bey,3.5,0,marcus j. moore,contributor,0,2,1,2017,rap,awge
17,"smoke dza, pete rock",7.4,0,dean van nguyen,contributor,0,2,1,2017,rap,babygrande
18,various artists,6.6,0,louis pattison,contributor,0,2,1,2017,,soul jazz
19,senyawa,7.4,0,philip sherburne,contributing editor,0,2,1,2017,experimental,cejero
20,"chance the rapper, jeremih",8.1,0,sheldon pearce,associate staff writer,4,30,12,2016,pop/r&b,self-released
21,"chance the rapper, jeremih",8.1,0,sheldon pearce,associate staff writer,4,30,12,2016,rap,self-released
22,jamire williams,7.2,0,benjamin scheim,contributor,4,30,12,2016,experimental,leaving
23,the-dream,7.0,0,rebecca haithcoat,contributor,3,29,12,2016,pop/r&b,radio killa
24,the-dream,7.0,0,rebecca haithcoat,contributor,3,29,12,2016,rap,radio killa
25,worm ouroboros,7.5,0,sam sodomsky,associate staff writer,3,29,12,2016,metal,profound lore
26,nine inch nails,6.3,0,benjamin scheim,contributor,2,28,12,2016,rock,self-released
27,elder ones,7.8,0,seth colter walls,contributor,2,28,12,2016,experimental,northern spy
28,the microphones,6.5,0,benjamin scheim,contributor,1,27,12,2016,experimental,p.w. elverum & sun
29,the microphones,6.5,0,benjamin scheim,contributor,1,27,12,2016,rock,p.w. elverum & sun
30,ben frost,7.3,0,brian howe,contributor,1,27,12,2016,electronic,bedroom community
31,kacey musgraves,6.8,0,marc hogan,senior staff writer,4,23,12,2016,folk/country,mercury
32,jay som,8.2,0,quinn moreland,assistant editor,4,23,12,2016,rock,polyvinyl
33,rashad becker,6.8,0,andy beta,contributor,4,23,12,2016,electronic,pan
34,ray charles,9.0,1,seth colter-walls,contributor,3,22,12,2016,jazz,challenge
35,ab-soul,4.4,0,sheldon pearce,associate staff writer,3,22,12,2016,rap,top dawg entertainment
36,pantera,7.7,0,savy reyes-kulkarni,contributor,3,22,12,2016,metal,rhino
37,gucci mane,7.6,0,renato pagnani,contributor,2,21,12,2016,rap,1017 brick squad
38,mica levi,7.1,0,kevin lozano,tracks coordinator,2,21,12,2016,experimental,milan
39,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rap,republic
40,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rap,wicked awesome
41,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rock,republic
42,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rock,wicked awesome
43,sammus,7.2,0,sheldon pearce,associate staff writer,1,20,12,2016,rap,don giovanni
44,hodgy,5.0,0,matthew strauss,associate editor,0,19,12,2016,rap,columbia
45,jeff parker,8.0,0,philip sherburne,contributing editor,0,19,12,2016,jazz,eremite
46,a-trak,6.4,0,andy beta,contributor,5,17,12,2016,electronic,fool's gold
47,a-trak,6.4,0,andy beta,contributor,5,17,12,2016,rap,fool's gold
48,jess williamson,7.7,0,benjamin scheim,contributor,5,17,12,2016,,brutal honest
49,kevin abstract,6.4,0,david turner,contributor,5,17,12,2016,rap,brockhampton
50,kevin abstract,6.4,0,david turner,contributor,5,17,12,2016,rap,empire
51,adr,7.1,0,thea ballard,contributor,5,17,12,2016,,pan
52,deadmau5,5.9,0,philip sherburne,contributing editor,4,16,12,2016,electronic,mau5trap
53,jessy lanza,6.5,0,vanessa okoth-obbo,contributor,4,16,12,2016,pop/r&b,hyperdub
54,peter broderick,6.7,0,benjamin scheim,contributor,4,16,12,2016,experimental,erased tapes
55,qasim naqvi,7.5,0,seth colter walls,contributor,4,16,12,2016,experimental,new amsterdam
56,post malone,4.5,0,matthew ramirez,contributor,3,15,12,2016,rap,republic
57,bob dylan,9.3,0,jesse jarnow,contributor,3,15,12,2016,rock,columbia legacy
58,"ricardo villalobos, umho",7.0,0,andrew gaerig,contributor,3,15,12,2016,electronic,drumma
59,peder mannerfelt,7.1,0,louis pattison,contributor,3,15,12,2016,electronic,numbers
60,j. cole,6.7,0,paul a. thompson,contributor,2,14,12,2016,rap,dreamville
61,j. cole,6.7,0,paul a. thompson,contributor,2,14,12,2016,rap,roc nation
62,pink floyd,8.8,1,jesse jarnow,contributor,2,14,12,2016,rock,legacy
63,flume,6.6,0,nathan reese,contributor,2,14,12,2016,electronic,mom & pop
64,gaye su akyol,7.4,0,andy beta,contributor,2,14,12,2016,global,glitterbeat
